Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,Month
765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,6.9,2019-01
329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,8.6,2019-01
319-50-3348,Mandalay,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-11-03,15:30,Ewallet,4.4,2019-11
300-71-4605,Naypyitaw,Normal,Male,Electronic accessories,86.04,5,21.510000000000005,451.71000000000004,2019-02-25,11:24,Ewallet,4.8,2019-02
371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197000000000001,277.137,2019-05-03,10:40,Ewallet,5.1,2019-05
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.3200000000000003,69.72,2019-03-15,12:20,Credit card,4.4,2019-03
636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,9.9,2019-02
549-59-1358,Yangon,Normal,Male,Sports and travel,88.63,3,13.2945,279.18449999999996,2019-02-03,17:36,Ewallet,6.0,2019-02
227-03-5010,Yangon,Normal,Male,Home and lifestyle,52.59,8,21.036,441.75600000000003,2019-03-22,19:20,Credit card,8.5,2019-03
649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.6760000000000002,35.196000000000005,2019-08-02,15:31,Cash,6.7,2019-08
189-17-4241,Yangon,Normal,Male,Fashion accessories,87.67,2,8.767000000000001,184.107,2019-10-03,12:17,Credit card,7.7,2019-10
145-94-9061,Mandalay,Normal,Male,Food and beverages,88.36,5,22.090000000000003,463.89,2019-01-25,19:48,Cash,9.6,2019-01
848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,7.4,2019-03
871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,4.8,2019-02
149-71-6266,Mandalay,Normal,Male,Sports and travel,78.07,9,35.131499999999996,737.7614999999998,2019-01-28,12:43,Cash,4.5,2019-01
640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-10-01,14:49,Cash,5.1,2019-10
595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2,9.658000000000001,202.81799999999998,2019-03-15,10:12,Credit card,5.1,2019-03
183-56-6882,Naypyitaw,Normal,Male,Food and beverages,99.42,4,19.884,417.564,2019-06-02,10:42,Ewallet,7.5,2019-06
232-16-2483,Naypyitaw,Normal,Male,Sports and travel,68.12,1,3.4060000000000006,71.52600000000001,2019-07-01,12:28,Ewallet,6.8,2019-07
129-29-8530,Yangon,Normal,Male,Sports and travel,62.62,5,15.655,328.75499999999994,2019-10-03,19:15,Ewallet,7.0,2019-10
272-65-1806,Yangon,Normal,Male,Electronic accessories,60.88,9,27.396000000000004,575.316,2019-01-15,17:17,Ewallet,4.7,2019-01
333-73-7901,Naypyitaw,Normal,Male,Health and beauty,54.92,8,21.968000000000004,461.32800000000003,2019-03-23,13:24,Ewallet,7.6,2019-03
777-82-7220,Mandalay,Normal,Male,Home and lifestyle,30.12,8,12.048000000000002,253.008,2019-03-03,13:01,Cash,7.7,2019-03
280-35-5823,Mandalay,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,7.9,2019-01
554-53-8700,Naypyitaw,Normal,Male,Home and lifestyle,56.11,2,5.611000000000001,117.831,2019-02-02,10:11,Cash,6.3,2019-02
354-25-5821,Mandalay,Normal,Male,Sports and travel,69.12,6,20.736000000000004,435.456,2019-08-02,13:03,Cash,5.6,2019-08
228-96-1411,Naypyitaw,Normal,Male,Food and beverages,98.7,8,39.480000000000004,829.08,2019-04-03,20:39,Cash,7.6,2019-04
617-15-4209,Naypyitaw,Normal,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,Cash,7.2,2019-03
132-32-9879,Mandalay,Normal,Male,Electronic accessories,93.96,4,18.791999999999998,394.63199999999995,2019-09-03,18:00,Cash,9.5,2019-09
370-41-7321,Mandalay,-,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24,Credit card,8.4,2019-02
727-46-3608,Mandalay,-,Male,Food and beverages,20.01,9,9.0045,189.0945,2019-06-02,15:47,Ewallet,4.1,2019-06
669-54-1719,Mandalay,-,Male,Electronic accessories,18.93,6,5.679,119.259,2019-10-02,12:45,Credit card,8.1,2019-10
574-22-5561,Naypyitaw,-,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08,Ewallet,7.9,2019-03
326-78-5178,Naypyitaw,-,Male,Food and beverages,91.4,7,31.990000000000006,671.7900000000001,2019-03-02,10:19,Cash,9.5,2019-03
162-48-8011,Yangon,-,Female,Food and beverages,44.59,5,11.1475,234.09750000000003,2019-10-02,15:10,Cash,8.5,2019-10
616-24-2851,Mandalay,-,Female,Fashion accessories,17.87,4,3.5740000000000003,75.054,2019-03-22,14:42,Ewallet,6.5,2019-03
778-71-5554,Naypyitaw,-,Male,Fashion accessories,15.43,1,0.7715000000000001,16.2015,2019-01-25,15:46,Credit card,6.1,2019-01
242-55-6721,Mandalay,-,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-07-03,11:49,Ewallet,6.5,2019-07
399-46-5918,Naypyitaw,-,Female,Electronic accessories,85.98,8,34.392,722.2320000000001,2019-02-28,19:01,Cash,8.2,2019-02
106-35-6779,Yangon,-,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26,Cash,5.8,2019-03
635-40-6220,Yangon,-,Male,Health and beauty,89.6,8,35.839999999999996,752.64,2019-07-02,11:28,Ewallet,6.6,2019-07
817-48-8732,Yangon,-,Female,Home and lifestyle,72.35,10,36.175000000000004,759.675,2019-01-20,15:55,Cash,5.4,2019-01
120-06-4233,Naypyitaw,-,Male,Electronic accessories,30.61,6,9.183,192.843,2019-12-03,20:36,Cash,9.3,2019-12
285-68-5083,Naypyitaw,-,Female,Sports and travel,24.74,3,3.7110000000000003,77.931,2019-02-15,17:47,Credit card,10.0,2019-02
803-83-5989,Naypyitaw,-,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55,Ewallet,7.0,2019-02
347-34-2234,Mandalay,-,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-03-02,13:40,Ewallet,10.0,2019-03
199-75-8169,Yangon,-,Male,Sports and travel,15.81,10,7.905,166.005,2019-06-03,12:27,Credit card,8.6,2019-06
853-23-2453,Mandalay,-,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35,Cash,7.6,2019-02
877-22-3308,Yangon,-,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40,Cash,5.8,2019-03
838-78-4295,Naypyitaw,-,Female,Health and beauty,33.47,2,3.347,70.28699999999999,2019-10-02,15:43,Ewallet,6.7,2019-10
109-28-2512,Mandalay,-,Female,Fashion accessories,97.61,6,29.283,614.943,2019-07-01,15:01,Ewallet,9.9,2019-07
232-11-3025,Yangon,-,Male,Sports and travel,78.77,10,39.385,827.0849999999999,2019-01-24,10:04,Cash,6.4,2019-01
382-03-4532,Yangon,-,Female,Health and beauty,18.33,1,0.9165,19.246499999999997,2019-02-02,18:50,Cash,4.3,2019-02
393-65-2792,Naypyitaw,-,Male,Food and beverages,89.48,10,44.74000000000001,939.5400000000001,2019-06-01,12:46,Credit card,9.6,2019-06
796-12-2025,Naypyitaw,-,Male,Fashion accessories,62.12,10,31.06,652.2599999999999,2019-11-02,16:19,Cash,5.9,2019-11
510-95-6347,Mandalay,-,Female,Food and beverages,48.52,3,7.2780000000000005,152.838,2019-05-03,18:17,Ewallet,4.0,2019-05
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-09-03,18:21,Cash,8.7,2019-09
287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,9.4,2019-01
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825000000000003,437.325,2019-01-13,17:04,Credit card,5.4,2019-01
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-09-01,14:20,Credit card,8.6,2019-09
381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-12-01,15:48,Credit card,5.7,2019-12
829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-05-03,16:24,Ewallet,6.6,2019-05
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.99499999999999,2019-01-22,18:56,Cash,6.0,2019-01
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.8969999999999,2019-01-21,14:42,Credit card,5.5,2019-01
847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502000000000002,304.54200000000003,2019-01-26,19:56,Ewallet,6.4,2019-01
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,6.6,2019-01
787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45,Credit card,8.3,2019-02
360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-09-03,10:17,Cash,6.6,2019-09
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071000000000005,610.4910000000001,2019-05-03,14:31,Ewallet,4.0,2019-05
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.72999999999996,2019-03-25,10:23,Cash,9.9,2019-03
633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.94300000000004,2019-03-27,20:35,Credit card,7.3,2019-03
504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-02-01,16:57,Cash,5.7,2019-02
318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6,23.096999999999998,485.0369999999999,2019-02-27,17:55,Cash,6.1,2019-02
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25,Cash,7.1,2019-01
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.430000000000003,471.03000000000003,2019-01-26,19:54,Ewallet,8.2,2019-01
873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7,7.693000000000001,161.55300000000003,2019-10-01,16:42,Ewallet,5.1,2019-10
152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9,28.962000000000003,608.202,2019-12-03,12:09,Credit card,8.6,2019-12
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-06-02,20:05,Credit card,6.6,2019-06
594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1,4.8580000000000005,102.018,2019-08-03,20:38,Ewallet,7.2,2019-08
766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25,Ewallet,5.1,2019-03
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.7349999999999994,78.43499999999999,2019-09-02,13:11,Cash,4.1,2019-09
865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125000000000005,166.1625,2019-03-23,10:16,Ewallet,9.3,2019-03
733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.810000000000002,521.01,2019-05-03,18:14,Cash,7.4,2019-05
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20,Cash,4.1,2019-03
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2974999999999,2019-01-03,13:22,Cash,7.2,2019-01
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.01149999999998,2019-01-02,11:27,Cash,4.9,2019-01
212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44,Cash,9.9,2019-03
716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7,10.622500000000002,223.07250000000002,2019-03-19,18:19,Cash,8.0,2019-03
704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10,44.33500000000001,931.0350000000001,2019-12-01,14:50,Ewallet,7.3,2019-12
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-05-01,20:54,Credit card,7.9,2019-05
630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6,18.639000000000003,391.41900000000004,2019-03-22,20:19,Cash,7.4,2019-03
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43,Cash,4.2,2019-03
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.98500000000001,860.6850000000001,2019-03-03,14:30,Cash,9.2,2019-03
479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-05-02,11:32,Ewallet,4.6,2019-05
210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-05-02,10:41,Credit card,7.8,2019-05
227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44,Cash,8.4,2019-02
645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9,26.131500000000003,548.7615,2019-01-19,20:07,Ewallet,4.3,2019-01
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-01-02,20:31,Credit card,9.5,2019-01
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-02-03,13:01,Credit card,7.1,2019-02
291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-05-03,12:29,Ewallet,5.3,2019-05
659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26,Ewallet,5.2,2019-01
642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08000000000001,2019-02-02,20:48,Ewallet,6.0,2019-02
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.22399999999999,2019-01-20,20:38,Ewallet,4.1,2019-01
638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824000000000005,836.304,2019-02-14,17:03,Credit card,5.2,2019-02
659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-12-01,12:02,Credit card,6.5,2019-12
219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-09-03,17:26,Credit card,4.2,2019-09
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.8439999999999,2019-03-13,19:52,Credit card,4.6,2019-03
268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-09-03,14:57,Ewallet,7.3,2019-09
668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-10-03,18:44,Credit card,4.5,2019-10
870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26,Cash,9.0,2019-01
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.278500000000001,299.8485,2019-08-01,16:17,Credit card,5.9,2019-08
663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416000000000004,575.7360000000001,2019-08-01,15:57,Ewallet,8.5,2019-08
549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626000000000005,853.146,2019-08-02,11:15,Ewallet,7.2,2019-08
191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.866999999999999,291.207,2019-01-25,13:18,Cash,7.5,2019-01
802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-06-03,20:34,Cash,8.3,2019-06
695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968000000000001,146.328,2019-10-02,18:36,Cash,7.4,2019-10
590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235000000000003,550.9350000000001,2019-02-17,14:40,Credit card,8.8,2019-02
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.1899999999999,2019-08-03,16:43,Ewallet,5.3,2019-08
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39,Cash,6.2,2019-02
700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.12749999999997,2019-01-18,20:59,Credit card,8.8,2019-01
354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39,Cash,9.8,2019-02
241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21,Cash,8.2,2019-02
575-30-8091,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,Ewallet,9.2,2019-03
731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.900000000000006,942.9,2019-01-23,13:00,Credit card,5.4,2019-01
280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48,Cash,8.1,2019-01
338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.300000000000004,720.3,2019-05-02,19:57,Cash,9.1,2019-05
488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205000000000002,31.930500000000002,2019-02-22,10:36,Credit card,8.4,2019-02
239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385000000000005,491.08500000000004,2019-01-21,16:37,Ewallet,8.0,2019-01
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-08-03,17:11,Credit card,9.5,2019-08
685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.46999999999997,2019-10-02,12:28,Ewallet,9.2,2019-10
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228000000000002,277.788,2019-03-19,12:46,Credit card,5.6,2019-03
262-47-2794,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-06-03,15:07,Credit card,6.2,2019-06
238-49-0436,Yangon,Normal,Male,Health and beauty,32.46,8,12.984000000000002,272.664,2019-03-27,13:48,Credit card,4.9,2019-03
608-96-3517,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308000000000003,384.468,2019-03-23,19:20,Credit card,4.8,2019-03
584-86-7256,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096000000000002,254.01600000000002,2019-11-03,16:07,Credit card,7.3,2019-11
746-94-0204,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.6179999999999,2019-01-29,11:56,Credit card,7.4,2019-01
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-07-02,18:23,Ewallet,9.9,2019-07
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,13:05,Cash,9.3,2019-01
782-95-9291,Yangon,Member,Male,Food and beverages,92.29,5,23.072500000000005,484.52250000000004,2019-02-20,15:55,Credit card,9.0,2019-02
279-74-2924,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085000000000003,75.77850000000001,2019-04-01,19:40,Cash,6.1,2019-04
307-85-2293,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-07-03,13:58,Ewallet,97.0,2019-07
743-04-1105,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,14:43,Ewallet,6.0,2019-03
423-57-2993,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017000000000003,588.3570000000001,2019-03-27,19:18,Ewallet,10.0,2019-03
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272000000000002,362.712,2019-01-19,19:39,Credit card,8.3,2019-01
275-28-0149,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,16:21,Cash,6.0,2019-02
101-17-6199,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.55649999999997,2019-03-13,19:44,Credit card,7.0,2019-03
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.640000000000001,160.44,2019-01-30,19:42,Ewallet,6.5,2019-01
548-46-9322,Mandalay,Normal,Male,Food and beverages,39.9,10,19.950000000000003,418.95,2019-02-20,15:24,Credit card,5.9,2019-02
505-02-0892,Mandalay,Member,Male,Health and beauty,42.57,8,17.028000000000002,357.588,2019-02-25,14:12,Ewallet,5.6,2019-02
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.5899999999999,2019-01-16,13:32,Cash,4.8,2019-01
687-47-8271,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49000000000001,1039.29,2019-08-02,16:20,Credit card,8.7,2019-08
796-32-9050,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,16:31,Cash,6.5,2019-01
105-31-1824,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-01-02,15:10,Credit card,8.5,2019-01
249-42-3782,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-03-01,11:36,Ewallet,5.5,2019-03
316-55-4634,Mandalay,Member,Male,Food and beverages,80.05,5,20.012500000000003,420.2625,2019-01-26,12:45,Credit card,9.4,2019-01
733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.340000000000002,175.14000000000001,2019-03-03,19:17,Cash,6.3,2019-03
608-27-6295,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867000000000003,333.20700000000005,2019-01-19,17:34,Credit card,9.8,2019-01
414-12-7047,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,12:04,Ewallet,8.7,2019-01
827-26-2100,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228000000000003,319.78800000000007,2019-03-21,16:21,Ewallet,8.8,2019-03
175-54-2529,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,2019-03-03,17:01,Credit card,9.6,2019-03
139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.878500000000002,165.44850000000002,2019-02-13,10:50,Credit card,4.8,2019-02
407-63-8975,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.44399999999996,2019-03-23,19:16,Ewallet,4.4,2019-03
342-65-4817,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.41999999999996,2019-01-28,16:47,Ewallet,9.9,2019-01
130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491000000000003,472.31100000000004,2019-09-02,10:00,Cash,5.7,2019-09
434-83-9547,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.14799999999997,2019-01-23,11:51,Cash,7.7,2019-01
851-28-6367,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,10:55,Ewallet,8.0,2019-03
824-88-3614,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724000000000002,288.204,2019-01-25,15:00,Ewallet,5.7,2019-01
586-25-0848,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,2019-04-03,11:19,Credit card,6.7,2019-04
895-66-0685,Mandalay,Member,Male,Food and beverages,18.08,3,2.7119999999999997,56.952,2019-05-03,19:46,Ewallet,8.0,2019-05
305-14-0245,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,19:00,Ewallet,7.5,2019-03
732-04-5373,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2019-08-02,10:53,Cash,7.0,2019-08
400-60-7251,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2019-10-02,12:50,Ewallet,9.9,2019-10
593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962000000000002,293.202,2019-01-28,20:50,Credit card,5.9,2019-01
284-34-9626,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556000000000001,242.67600000000002,2019-11-02,10:39,Credit card,7.2,2019-11
437-58-8131,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,13:41,Ewallet,4.6,2019-01
286-43-6208,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.7099999999999,2019-03-16,19:08,Cash,9.2,2019-03
641-43-2399,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,20:23,Ewallet,5.7,2019-01
831-07-6050,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.72750000000002,2019-03-19,11:30,Credit card,9.9,2019-03
556-86-3144,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145000000000006,78.00450000000001,2019-01-13,19:30,Cash,5.0,2019-01
848-24-9445,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,91.77000000000001,2019-03-26,18:03,Cash,4.9,2019-03
856-22-8149,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.554499999999997,2019-03-23,10:13,Ewallet,6.1,2019-03
